CAS Number,Compound Name
,2-pentyl-6-propylpyridine
1121-78-4,5-hydroxy-2-methylpyridine (=6-methyl-3-pyridinol)
1121-25-1,3-hydroxy-2-methylpyridine
3256-88-0,2-methyl-5-phenylpyridine
,methyl-3-phenylpyridine (unkn.str.)
620-95-1,3-benzylpyridine
101-82-6,2-benzylpyridine
53911-35-6,3-phenyl-4-propylpyridine
81879-87-0,5-phenyl-2-propylpyridine
85237-77-0,2-phenyl-5-propylpyridine
108-75-8,"2,4,6-trimethylpyridine (=s-collidine, γ-collidine)"
29611-84-5,trimethylpyridine (unkn.str.)
23580-52-1,"3-ethyl-2,6-dimethylpyridine"
,"2-isobutyl-3,5-diisopropyl-pyridine"
7033-69-4,"3,5-dibutyl-2-pentylpyridine"
504-29-0,2-aminopyridine
694-85-9,1-methyl-2-pyridinone
1003-56-1,3-methyl-2-pyridone
19006-81-6,4-phenyl-2-pyridone
,"3-hydroxy-2,4-dimethoxypyridine"
1121-60-4,2-pyridinecarbaldehyde
500-22-1,nicotinaldehyde
872-85-5,isonicotinaldehyde
,3-hydroxy-2-methoxy-4-pyridinecarbaldehyde
1122-62-9,2-acetylpyridine
350-03-8,3-acetylpyridine
1122-54-9,4-acetylpyridine
142896-09-1,2-acetyl-4-isopropylpyridine
142896-11-5,2-acetyl-4-isopropenyl pyridine
142896-12-6,4-acetyl-2-isopropenylpyridine
,"1,2-dihydro-4,4,5(or 6)-trimethyl-3(4H)-pyridinone"
,(1-oxo-2-propenyl)pyridine (unkn.str.)
6940-57-4,2-acetyl-6-methylpyridine
78249-87-3,2-acetyl-methylpyridine (unkn.str.)
,2-acetyl-6-allylpyridine
79926-01-5,"2-acetyl-3,6-dimethylpyridine"
253-72-5,"1,6-naphtyridine"
1570-48-5,3-propanoylpyridine
3238-55-9,2-propanoylpyridine
59-67-6,nicotinic acid (=3-pyridinecarboxylic acid)
32075-31-3,pyridinecarboxylic acid (unkn.str.)
93-60-7,methyl nicotinate
614-18-6,ethyl nicotinate
6938-06-3,butyl nicotinate
50917-69-6,isopentyl nicotinate
71653-43-5,phenethyl nicotinate
553-53-7,"3-pyridinecarboxylic acid, hydrazide"
54-11-5,nicotine
6302-03-0,nicotinylacetone
4753-19-9,4-pyridoxic acid lactone
111-49-9,hexahydro-1H-azepine
91-22-5,quinoline
119-65-3,isoquinoline
91-63-4,2-methylquinoline
76180-96-6,"2-Amino-3-methyl-3H-imidazo[4,5-f]quinoline"
77094-11-2,"2-amino-3,4-dimethylimidazo(4,5-f)quinoline"
77500-04-0,"2-Amino-3,8-dimethylimidazo[4,5-f]quinoxaline"
