CAS Number,Compound Name
5956-09-2,β-dihydroagarofuran
150652-94-1,cis-dihydroagarofuran
,β-hydroxyatractylon
97-99-4,tetrahydrofurfuryl alcohol
123931-60-2,cis-5-methyltetrahydrofurfuryl alcohol
123931-61-3,trans-5-methyltetrahydrofurfuryl alcohol
,"α,α,5-trimethyltetrahydrofurfuryl alcohol"
98-00-0,"furfuryl alcohol (=(2-furyl)-methanol, 2-furanmethanol)"
3857-25-8,5-methylfurfuryl alcohol
106188-67-4,4(or 3)-methylfurfuryl alcohol (unkn.str.)
30478-77-4,α-butylfurfuryl alcohol
14294-62-3,α-pentylfurfuryl alcohol
1883-75-6,"2,5-bis(hydroxymethyl)furan"
35942-95-1,2-furanethanol (=2-(2-furyl)ethanol)
35997-39-8,lilac alcohol
4225-35-8,"4,6-dimethoxy-3(2H)-benzofuranone"
13714-86-8,5-methyl-2-furancarbonitrile (=2-cyano-5-methylfuran)
88-14-2,2-furancarboxylic acid (=2-furoic acid)
488-93-7,3-furancarboxylic acid (=3-furoic acid)
26447-28-9,furancarboxylic acid (unkn.str.)
1917-15-3,5-methyl-2-furancarboxylic acid
27609-57-0,2-furanoctanoic acid
3387-26-6,"3,4-furandicarboxylic acid"
611-13-2,methyl 2-furancarboxylate
76448-73-2,ethyl 5-(hydroxymethyl)furan-2-carboxylate
614-99-3,ethyl 2-furancarboxylate (=ethyl 2-furoate)
1334-76-5,methyl furancarboxylate (unkn.str.)
,ethyl furancarboxylate (unkn.str.)
4208-49-5,allyl 2-furancarboxylate (=allyl pyromucatate)
583-33-5,butyl 2-furancarboxylate
20279-53-2,isobutyl 2-furancarboxylate
615-12-3,isopentyl 2-furancarboxylate
39251-86-0,hexyl 2-furancarboxylate (=hexyl furoate)
2527-96-0,methyl 5-methyl-2-furancarboxylate
116181-55-6,"α,5-dimethyl-5-vinylfuranacetic acid (=davana acid)"
116627-43-1,"3,4-dimethyl-5-pentyl-2-furanpentanoic acid"
92745-17-0,"3,4-dimethyl-5-pentyl-2-furanheptanoic acid"
57818-39-0,3-methyl-5-pentyl-2-furannonanoic acid
57818-40-3,"3,4-dimethyl-5-pentyl-2-furannonanoic acid"
57818-37-8,3-methyl-5-pentyl-2-furanundecanoic acid
57818-36-7,"3,4-dimethyl-5-pentyl-2-furanundecanoic acid"
10031-90-0,ethyl 2-furanpropanoate
623-20-1,ethyl 3-(2-furyl)-2-propenoate
79925-85-2,isopentyl 3-(2-furyl)-2-propenoate
13493-97-5,furfuryl formate (=2-furfuryl formate)
623-17-6,furfuryl acetate (=2-furanmethanol acetate)
,tetrahydro-2-furanmethyl acetate
623-19-8,furfuryl propanoate
6270-55-9,furfuryl 2-methylpropanoate
623-21-2,furfuryl butanoate
59020-84-7,furfuryl 2-butenoate
13678-61-0,furfuryl 2-methylbutanoate
13678-60-9,furfuryl 3-methylbutanoate
83783-84-0,furfuryl 3-methyl-2-butenoate
36701-01-6,furfuryl pentanoate
39252-02-3,furfuryl hexanoate
13529-27-6,furfural diethyl acetal
,"furfural, ethyl propyl acetal"
,"furfural, ethyl isobutyl acetal"
,"furfural, ethyl 2-methylbutyl acetal"
,"furfural, ethyl isopentyl acetal"
,"furfural, isobutyl isopentyl acetal"
18091-14-0,"furfural, diisopentyl acetal"
6270-56-0,ethyl furfuryl ether (=2-(ethoxymethyl)furan)
35901-19-0,ethyl 5-methylfurfuryl ether
,2-ethoxy-5-methylfuran
147380-69-6,acetonyl furfuryl ether (=2-furfuryloxyacetone)
4437-22-3,difurfuryl ether
13678-72-3,furfuryl 5-methylfurfuryl ether
74638-12-3,furosardonine A
6790-58-5,ambroxide
3738-00-9,"1,5,5,9-Tetramethyl-13-oxatricyclo(8.3.0.0(4,9))tridecane"
