CAS Number,Compound Name
730-46-1,4-hydroxyhexadecanoic acid lactone
7370-44-7,5-hydroxyhexadecanoic acid lactone
109-29-5,16-hydroxyhexadecanoic acid lactone
123-69-3,"Hexadec-7-en-1,16-lactone"
7779-50-2,omega-6-Hexadecenlactone
28645-51-4,Isoambrettolide
110071-72-2,4-hydroxyheptadecanoic acid lactone
153953-65-2,5-hydroxyheptadecanoic acid lactone
502-26-1,4-hydroxyoctadecanoic acid lactone
1227-51-6,5-hydroxyoctadecanoic acid lactone
,4-hydroxyeicosanoic acid lactone
,5-hydroxyeicosanoic acid lactone
15356-74-8,dihydroactinidiolide
65817-24-5,furamintone
,"(3S,6)-dimethylbenzo-[b]-furan-2(3H)-one"
,"(3R,6)-dimethylbenzo-[b]-furan-2(3H)-one"
57743-63-2,wine lactone
182699-77-0,"(3S,3aS,7aR)-wine lactone"
182699-78-1,"(3R,3aR,7aS)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-79-2,"(3R,3aS,7aR)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-80-5,"(3S,3aR,7aS)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-81-6,"(3S,3aS,7aS)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-82-7,"(3R,3aR,7aR)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-83-8,"(3R,3aS,7aS)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
182699-84-9,"(3S,3aR,7aR)-3a,4,5,7a-tetrahydro-3,6-dimethyl-2(3H)-benzofuranone"
16642-41-4,menthofurolactone
,epi-menthofurolactone
13341-72-5,mintlactone
38049-04-6,(-)-mintlactone
75684-66-1,isomintlactone
213969-56-3,hydroxymintlactone
80417-97-6,"5,6-Dihydro-3,6-dimethylbenzofuran-2(4H)-one"
75640-26-5,(6R)-Dehydromenthofurolactone
92015-65-1,Dihydromintlactone
1126-51-8,ethyl 2-hydroxypentanedioate lactone
5579-79-3,oxacycloundecan-2-one
,(E)-9-cyclodecenolide
79894-05-6,Yuzu lactone
120464-06-4,1-oxacyclopentadec-6-en-2-one
63958-52-1,(Z)-oxacyclopentadec-6-en-2-one
98263-92-4,curcumalactone
1133-04-6,dehydrololiolide
5989-02-6,loliolide
490-10-8,nepetalactone
21651-62-7,"4aα,7α,7aα-nepetalactone"
,"4aα,7α-7aβ-nepetalactone"
21651-53-6,"4aα,7β,7aα-nepetalactone"
