CAS Number,Compound Name
7786-44-9,"2,6-nonadien-1-ol"
28069-72-9,"(E,Z)-2,6-nonadien-1-ol"
76649-25-7,"3,6-nonadien-1-ol"
53046-97-2,"(Z,Z)-3,6-nonadien-1-ol"
56805-23-3,"(E,Z)-3,6-nonadien-1-ol"
63450-36-2,nonadienol (unkn.str.)
86414-45-1,3-methyl-1-nonanol
55505-26-5,8-methyl-1-nonanol
112-30-1,1-decanol
1120-06-5,2-decanol
1565-81-7,3-decanol
5205-34-5,5-decanol
26536-63-0,"1,1'-dioxybis(1-decanol)"
110-05-4,di-tert-butyl peroxide
22104-80-9,2-decen-1-ol
18409-18-2,(E)-2-decen-1-ol
69093-74-9,3-decen-1-ol
10339-60-3,(E)-3-decen-1-ol
10340-22-4,(Z)-3-decen-1-ol
72255-83-5,4-decen-1-ol
57074-37-0,(Z)-4-decen-1-ol
10339-62-5,(E)-4-decen-1-ol
13019-22-2,9-decen-1-ol
51100-54-0,1-Decen-3-ol
62053-09-2,decenol (unkn.str.)
14507-02-9,"2,4-decadien-1-ol"
16195-71-4,"(E,Z)-2,4-decadien-1-ol"
18409-21-7,"(E,E)-2,4-decadien-1-ol"
89634-50-4,"(E,Z)-2,6-decadien-1-ol"
104188-11-6,"(Z,Z)-4,7-decadien-1-ol"
203569-60-2,"(E,Z)-4,7-decadien-1-ol"
55505-28-7,9-methyl-1-decanol
21078-65-9,2-ethyl-1-decanol
60671-35-4,2-propyl-1-decanol
58203-65-9,3-methyl-4-decen-1-ol
112-47-0,"1,10-decanediol"
112-42-5,1-undecanol
1653-30-1,2-undecanol
6929-08-4,3-undecanol
4272-06-4,4-undecanol
37493-70-2,5-undecanol
23708-56-7,6-undecanol
66443-78-5,"1,1'-dioxybis-(1-undecanol)"
37617-03-1,2-undecen-1-ol
75039-83-7,(Z)-2-undecen-1-ol
75039-84-8,(E)-2-undecen-1-ol
112-43-6,10-undecen-1-ol
67233-90-3,(Z)-6-undecen-2-ol
67233-89-0,(E)-6-undecen-2-ol
,6-undecen-2-ol
,undecenol (unkn.str.)
91212-78-1,"2,5-undecadien-1-ol"
,"1,5-undecadien-3-ol"
56722-23-7,"(Z)-1,5-undecadien-3-ol"
20194-45-0,10-methyl-1-undecanol
10522-26-6,2-methyl-1-undecanol
,"10-methyl-5,9-undecadien-1-ol"
7733-91-7,"(E)-6,10-dimethyl-5,9-undecadien-2-ol (=geranylacetol)"
6819-38-1,"(Z)-6,10-dimethyl-5,9-undecadien-2-ol (=nerylacetol)"
,"1,5,8-undecatrien-3-ol"
35389-48-1,"(Z,Z)-1,5,8-undecatrien-3-ol"
1050211-66-9,yuzuol
112-53-8,1-dodecanol
10203-28-8,2-dodecanol
27342-88-7,dodecanol (unkn.str.)
73321-58-1,"1,1'-dioxybis(1-dodecanol)"
22104-81-0,2-dodecen-1-ol
69064-37-5,(E)-2-dodecen-1-ol
,dodecenol (unkn.str.)
29125-78-8,"(Z,Z)-3,6-dodecadienol"
27458-92-0,11-methyl-1-dodecanol
112-70-9,1-tridecanol
1653-31-2,2-tridecanol
74962-98-4,trans-2-tridecenol
112-72-1,1-tetradecanol
4706-81-4,2-tetradecanol
144-68-3,Zeaxanthin
127-40-2,lutein
27196-00-5,tetradecanol (unkn.str.)
22104-82-1,2-tetradecen-1-ol
20194-47-2,13-methyl-1-tetradecanol
629-76-5,1-pentadecanol
1653-34-5,2-pentadecanol
31389-11-4,pentadecanol (unkn.str.)
36653-82-4,1-hexadecanol (=cetanol)
2490-48-4,2-methyl-1-hexadecanol
14852-31-4,2-hexadecanol
29354-98-1,hexadecanol (unkn.str.)
56683-54-6,(Z)-11-Hexadecen-1-ol
1454-85-9,1-heptadecanol
16813-18-6,2-heptadecanol
112-92-5,1-octadecanol
593-47-5,(E)-9-octadecen-1-ol
143-28-2,(Z)-9-octadecen-1-ol (=oleyl alcohol)
1454-84-8,1-nonadecanol
629-96-9,1-eicosanol
661-19-8,1-docosanol
506-52-5,1-hexacosanol (=ceryl alcohol)
41884-28-0,tetrahydrolavandulol
498-16-8,lavandulol
106-22-9,citronellol (=β-citronellol)
7540-51-4,L-citronellol
1117-61-9,(3R)-(+)-citronellol
141-25-3,"3,7-dimethyl-7-octen-1-ol"
6812-78-8,α-citronellol
18479-52-2,"3,7-dimethyl-7-octen-3-ol (=isocitronellol)"
13066-51-8,γ-isogeraniol
,dimethyloctenol (unkn.str.)
106-24-1,geraniol
106-25-2,nerol
624-15-7,geraniol and nerol
5944-20-7,cis-isogeraniol
16750-94-0,trans-isogeraniol
78-70-6,linalool
126-91-0,(R)-(-)-linalool (=licareol)
126-90-9,(S)-(+)-linalool (=coriandrol)
,"2,6-dimethyl-2,7-octadiene-1,6-diol (=8-hydroxylinalool)"
103619-06-3,"(Z)-2,6-dimethyl-2,7-octadiene-1,6-diol (=(Z)-8-hydroxylinalool)"
75991-61-6,"(E)-2,6-dimethyl-2,7-octadiene-1,6-diol (=(E)-8-hydroxylinalool)"
78-69-3,tetrahydrolinalool
7643-59-6,(Z)-ocimenol
5986-38-9,ocimenol
7643-60-9,(E)-ocimenol
461642-82-0,8-ocimenol
304443-48-9,"(3Z,Z6)-8-ocimenol"
304443-49-0,"(3E,6Z)-8-ocimenol"
113378-77-1,"(3Z,6E)-8-ocimenol"
113378-78-2,"(3E,6E)-8-ocimenol"
6750-34-1,"3,7,11-trimethyl-1-dodecanol (=hexahydrofarnesol)"
51411-24-6,"2,3-dihydrofarnesol"
27745-36-4,"(S,E)-2,3-dihydrofarnesol"
4602-84-0,farnesol
,14-hydroxy-α-humulene
82010-12-6,(Z)-farnesol
82010-11-5,(E)-farnesol
3790-71-4,"(Z,E)-farnesol"
3879-60-5,"(E,Z)-farnesol"
16106-95-9,"(Z,Z)-farnesol"
106-28-5,"(E,E)-farnesol"
58181-76-3,β-farnesol
543-39-5,myrcenol
35628-05-8,ipsenol
6994-89-4,isomyrcenol
18479-58-8,dihydromyrcenol
18479-57-7,"2,6-dimethyl-2-octanol (=tetrahydromyrcenol)"
38228-40-9,(Z)-myrcen-8-ol
14434-41-4,ipsdienol
7212-44-4,"nerolidol (= 3,7,11-trimethyl-1,6,10-dodecatrien-3-ol )"
3790-78-1,(Z)-nerolidol
40716-66-3,(E)-nerolidol
108911-07-5,β-nerolidol
645-72-7,dihydrophytol
150-86-7,phytol
505-32-8,isophytol
1113-21-9,geranyllinalool
2919-23-5,cyclobutanol
35301-43-0,2-ethylcyclobutanol
26532-22-9,grandisol
30346-21-5,fragranol
96-41-3,cyclopentanol
24070-77-7,2-methylcyclopentanol
77110-32-8,methylcyclopentanol (unkn.str.)
156316-87-9,trans-(E)-jasmonol
156316-90-4,cis-(E)-jasmonol
90366-23-7,cyclopentanediol (unkn.str.)
104104-38-3,trans-α-necrodol
187663-98-5,cis-α-necrodol
1901-38-8,α-campholenic alcohol
67801-20-1,"3-methyl-5-(2,2,3-trimethyl-3-cyclopenten-1-yl)-4-penten-2-ol"
108-93-0,cyclohexanol
1561-86-0,2-chlorocyclohexanol
590-67-0,1-methylcyclohexanol
583-59-5,2-methylcyclohexanol
591-23-1,3-methylcyclohexanol
5715-23-1,"3,4-dimethylcyclohexanol"
4534-74-1,4-ethylcyclohexanol
96-07-1,2-isopropylcyclohexanol
4621-04-9,4-isopropylcyclohexanol
100-51-6,benzyl alcohol (=benzenemethanol)
91-01-0,α-phenyl-benzenemethanol
3840-31-1,"3,4,5-trimethoxybenzyl alcohol"
89-95-2,2-methylbenzyl alcohol
